ObservationDate,New Confirmed,New Deaths,New Recovered
2/21/2020,1,0,0
2/22/2020,0,0,0
2/23/2020,0,0,0
2/24/2020,0,0,0
2/25/2020,0,0,0
2/26/2020,1,0,0
2/27/2020,1,0,1
2/28/2020,1,0,0
2/29/2020,3,0,0
3/1/2020,3,0,0
3/2/2020,0,0,0
3/3/2020,2,0,0
3/4/2020,3,0,0
3/5/2020,1,0,0
3/6/2020,5,0,1
3/7/2020,0,0,0
3/8/2020,18,0,0
3/9/2020,0,0,0
3/10/2020,19,0,2
3/11/2020,51,0,0
3/12/2020,22,0,0
3/13/2020,30,0,0
3/14/2020,32,0,0
3/15/2020,58,0,0
3/16/2020,4,0,0
3/17/2020,82,0,7
3/18/2020,96,0,0
3/19/2020,244,0,0
3/20/2020,28,0,3
3/21/2020,178,1,22
3/22/2020,188,0,1
3/23/2020,371,0,4
3/24/2020,488,2,12
3/25/2020,439,2,5
3/26/2020,324,3,10
3/27/2020,342,4,11
3/28/2020,584,0,10
3/29/2020,628,3,43
3/30/2020,448,1,29
3/31/2020,663,4,63
